staircase_loop.label,staircase_loop.startVal,staircase_loop.stepSizes,staircase_loop.maxVal,staircase_loop.minVal,staircase_loop.thisIndex,staircase_loop.thisRepN,staircase_loop.thisN,staircase_loop.direction,staircase_loop.stepSize,staircase_loop.stepType,staircase_loop.intensity,staircase_loop.response,participant,session,date,expName,psychopyVersion,frameRate,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.04994246849682526,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.05,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.05,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.05005759777690845,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.05005759777690845,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.01,db,0.050115261903894995,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,0.01,db,0.050115261903894995,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.01,db,0.050115261903894995,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.01,db,0.05017299245739197,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.01,db,0.05023078951391977,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.01,db,0.05028865315008693,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.01,db,0.05028865315008693,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.01,db,0.05034658344259023,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.01,db,0.05034658344259023,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.01,db,0.050404580468214805,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.01,db,0.05046264430383424,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.01,db,0.05046264430383424,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.01,db,0.0505207750264107,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.01,db,0.0505207750264107,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.01,db,0.050578972712994955,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.01,db,0.050578972712994955,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.01,db,0.050578972712994955,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.01,db,0.05063723744072658,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.01,db,0.05063723744072658,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.01,db,0.05063723744072658,0,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.01,db,0.050695569286834004,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
const,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.01,db,0.050695569286834004,1,,001,2022_Oct_10_1340,Tutorial_1,2021.1.4,59.99401260084096,
