1.2433 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.4922 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
9.9657 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023445A1D240>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023445AFEBA8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.9670 	EXP 	window1: mouseVisible = True
9.9672 	EXP 	window1: recordFrameIntervals = False
10.1297 	EXP 	window1: recordFrameIntervals = True
10.3132 	EXP 	window1: recordFrameIntervals = False
10.4131 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
10.4320 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
10.4400 	EXP 	Imported loop_settings.xlsx as conditions, 1 conditions, 5 params
10.5182 	EXP 	window1: recordFrameIntervals = False
10.5459 	EXP 	grating: pos = array([0.2, 0. ])
10.5460 	EXP 	window1: recordFrameIntervals = False
11.5206 	EXP 	fixation: autoDraw = True
12.5472 	EXP 	grating: autoDraw = True
12.5472 	EXP 	grating: tex = 'sin'
12.5550 	EXP 	fixation: autoDraw = False
12.8624 	EXP 	grating: autoDraw = False
13.2694 	DATA 	Keypress: right
13.2854 	EXP 	window1: recordFrameIntervals = False
13.2956 	EXP 	fixation: autoDraw = False
13.2956 	EXP 	grating: autoDraw = False
13.2956 	EXP 	grating: pos = array([0.2, 0. ])
13.2961 	EXP 	window1: recordFrameIntervals = False
14.2767 	EXP 	fixation: autoDraw = True
15.2786 	EXP 	fixation: autoDraw = False
15.2786 	EXP 	grating: autoDraw = True
15.2786 	EXP 	grating: tex = 'sin'
15.5788 	EXP 	grating: autoDraw = False
15.7329 	EXP 	window1: recordFrameIntervals = False
15.7360 	DATA 	Keypress: right
15.7450 	EXP 	fixation: autoDraw = False
15.7450 	EXP 	grating: autoDraw = False
15.7450 	EXP 	grating: pos = array([-0.2,  0. ])
15.7453 	EXP 	window1: recordFrameIntervals = False
16.7265 	EXP 	fixation: autoDraw = True
17.7284 	EXP 	fixation: autoDraw = False
17.7284 	EXP 	grating: autoDraw = True
17.7284 	EXP 	grating: tex = 'sin'
18.0285 	EXP 	grating: autoDraw = False
18.1012 	EXP 	window1: recordFrameIntervals = False
18.1046 	DATA 	Keypress: left
18.1118 	EXP 	fixation: autoDraw = False
18.1118 	EXP 	grating: autoDraw = False
18.1118 	EXP 	grating: pos = array([-0.2,  0. ])
18.1122 	EXP 	window1: recordFrameIntervals = False
19.0931 	EXP 	fixation: autoDraw = True
20.0948 	EXP 	fixation: autoDraw = False
20.0948 	EXP 	grating: autoDraw = True
20.0948 	EXP 	grating: tex = 'sin'
20.3945 	EXP 	grating: autoDraw = False
20.8347 	EXP 	window1: recordFrameIntervals = False
20.8380 	DATA 	Keypress: left
20.8452 	EXP 	fixation: autoDraw = False
20.8452 	EXP 	grating: autoDraw = False
20.8452 	EXP 	grating: pos = array([0.2, 0. ])
20.8457 	EXP 	window1: recordFrameIntervals = False
21.8264 	EXP 	fixation: autoDraw = True
22.8281 	EXP 	fixation: autoDraw = False
22.8281 	EXP 	grating: autoDraw = True
22.8281 	EXP 	grating: tex = 'sin'
23.1280 	EXP 	grating: autoDraw = False
23.1835 	EXP 	window1: recordFrameIntervals = False
23.1869 	DATA 	Keypress: right
23.1945 	EXP 	fixation: autoDraw = False
23.1945 	EXP 	grating: autoDraw = False
23.1945 	EXP 	grating: pos = array([0.2, 0. ])
23.1950 	EXP 	window1: recordFrameIntervals = False
24.1747 	EXP 	fixation: autoDraw = True
25.1779 	EXP 	fixation: autoDraw = False
25.1779 	EXP 	grating: autoDraw = True
25.1779 	EXP 	grating: tex = 'sin'
25.4776 	EXP 	grating: autoDraw = False
25.5835 	EXP 	window1: recordFrameIntervals = False
25.5868 	DATA 	Keypress: right
25.5943 	EXP 	fixation: autoDraw = False
25.5943 	EXP 	grating: autoDraw = False
25.5943 	EXP 	grating: pos = array([-0.2,  0. ])
25.5947 	EXP 	window1: recordFrameIntervals = False
26.5756 	EXP 	fixation: autoDraw = True
27.5775 	EXP 	fixation: autoDraw = False
27.5775 	EXP 	grating: autoDraw = True
27.5775 	EXP 	grating: tex = 'sin'
27.8771 	EXP 	grating: autoDraw = False
27.9679 	EXP 	window1: recordFrameIntervals = False
27.9717 	DATA 	Keypress: left
27.9778 	EXP 	fixation: autoDraw = False
