key_resp.keys,key_resp.corr,tilt,hit,miss ,false alarm,correct rejection,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,Respond YES,Respond No
down,1,-4,,,,1,,,,Signal Present,45,5
down,1,-3,,,,1,,,,Signal Absent,10,40
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,d-prime:,1.662105703,
down,1,4,,,,1,,,,criterion:,0.301651874,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,-2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-1,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,0,-1,,,1,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
up,0,0,,1,,,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-2,,,,1,,,,,,
down,1,-1,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-5,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,0,0,,1,,,,,,,,
up,0,-1,,,1,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,3,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,1,1,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
down,1,3,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-2,,,,1,,,,,,
down,1,4,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,1,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,1,4,,,,1,,,,,,
down,1,1,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
down,1,1,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,0,0,,1,,,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-2,,,,1,,,,,,
up,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,3,,,,1,,,,,,
down,1,2,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,1,-5,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,1,-4,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
down,1,-2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,3,,,,1,,,,,,
down,1,4,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,0,-1,,,1,,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
up,0,1,,,1,,,,,,,
down,0,0,,1,,,,,,,,
,,,,,,,,,,,,
,,total = ,37,21,4,38,,,,,,
,,,,,,,,,,,,
,,prop hit:,0.637931034,,,,,,,,,
,,prop fa:,0.095238095,,,,,,,,,
