loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,num_distr,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,15.460178300039843,None,15.460178300039843,None,0.046875,0.4609375,1,0,0,2.5747425999725237,target,0.014299980131909251,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
1,0,1,0,5,18.024206100031734,None,18.024206100031734,None,0.3697916666666667,0.05078125,1,0,0,1.600125199998729,target,0.009888030006550252,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
2,0,2,0,10,19.715680500026792,None,19.715680500026792,None,0.4817708333333333,-0.059895833333333336,1,0,0,1.2083654999732971,target,0.006450749933719635,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
3,0,3,0,5,20.92622600006871,None,20.92622600006871,None,0.2604166666666667,0.01171875,1,0,0,1.1283809000160545,target,0.00825151999015361,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
4,0,4,0,10,22.153832300100476,None,22.153832300100476,None,0.3684895833333333,-0.3567708333333333,1,0,0,2.180789200006984,target,0.009988749981857836,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
5,0,5,0,5,24.351981800049543,None,24.351981800049543,None,-0.009114583333333334,-0.3697916666666667,1,0,0,1.3354747999692336,target,0.010973830008879304,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
6,0,6,0,10,25.750019400031306,None,25.750019400031306,None,0.09375,0.4895833333333333,1,0,0,2.20608789997641,target,0.014371230034157634,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
7,0,7,0,10,27.996570000075735,None,27.996570000075735,None,0.33984375,-0.0390625,1,0,0,1.3680837999563664,target,0.006649140035733581,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
8,0,8,0,5,29.391529600019567,None,29.391529600019567,None,0.029947916666666668,0.3229166666666667,1,0,0,2.2848690000828356,target,0.012043730006553233,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
9,0,9,0,10,31.744547300040722,None,31.744547300040722,None,0.21744791666666666,-0.171875,1,0,0,1.5828781999880448,target,0.0007616400253027678,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
10,0,10,0,5,33.364850000012666,None,33.364850000012666,None,-0.10286458333333333,0.45703125,1,0,0,1.792857600026764,target,0.00555312994401902,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
11,0,11,0,10,35.22517810005229,None,35.22517810005229,None,0.26171875,-0.17057291666666666,1,0,0,1.3286676000570878,target,0.012398940045386553,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
12,0,12,0,10,36.611033000051975,None,36.611033000051975,None,0.4388020833333333,0.08463541666666667,1,0,0,1.1150589999742806,target,0.009610740002244711,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
13,0,13,0,5,37.752192400046624,None,37.752192400046624,None,0.3098958333333333,-0.20442708333333334,1,0,0,1.366621799999848,target,0.011599429999478161,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
14,0,14,0,10,39.20885250007268,None,39.20885250007268,None,-0.048177083333333336,0.1875,1,0,0,1.4011148000136018,target,0.009424549993127584,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
15,0,15,0,5,40.626085500000045,None,40.626085500000045,None,-0.17317708333333334,0.47265625,1,0,0,2.2554919000249356,target,0.01489193004090339,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
16,0,16,0,5,42.97213350003585,None,42.97213350003585,None,-0.14973958333333334,-0.2981770833333333,1,0,0,2.031573800020851,target,0.006898550083860755,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
17,0,17,0,5,45.02423420001287,None,45.02423420001287,None,0.3138020833333333,-0.2526041666666667,1,0,0,1.2744691000552848,target,0.009222630062140524,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
