loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,num_distr,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,12.567023399984464,None,12.567023399984464,None,0.3151041666666667,-0.3463541666666667,1,0,0,2.921461599995382,target,0.0036931599024683237,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
1,0,1,0,10,15.488218200043775,None,15.488218200043775,None,-0.0026041666666666665,-0.4140625,1,0,0,2.5356606000568718,target,0.011356179951690137,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
2,0,2,0,10,18.08572929992806,None,18.08572929992806,None,-0.0390625,-0.07552083333333333,1,0,0,2.7225426000077277,target,0.007523679989390075,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
3,0,3,0,10,20.844363400014117,None,20.844363400014117,None,0.11979166666666667,0.3203125,1,0,0,1.452947499928996,target,0.011703360010869801,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
4,0,4,0,5,22.333442599978298,None,22.333442599978298,None,-0.4401041666666667,0.3828125,1,0,0,1.6282796999439597,target,0.010577859939076006,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
5,0,5,0,5,24.00013499998022,None,24.00013499998022,None,-0.16536458333333334,0.17838541666666666,1,0,0,1.8486948000499979,target,0.012363960151560605,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
6,0,6,0,10,25.91669450001791,None,25.91669450001791,None,-0.23177083333333334,-0.045572916666666664,1,0,0,1.7653746999567375,target,0.006744679994881153,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
7,0,7,0,5,27.712055500014685,None,27.712055500014685,None,-0.3697916666666667,-0.296875,1,0,0,2.671981399995275,target,0.006583460024558008,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
8,0,8,0,10,30.456373999943025,None,30.456373999943025,None,-0.4856770833333333,0.4778645833333333,1,0,0,3.0700284999329597,target,0.015070099965669215,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
9,0,9,0,10,33.5805102000013,None,33.5805102000013,None,0.4010416666666667,-0.055989583333333336,1,0,0,2.6252272001001984,target,0.012195080053061247,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
10,0,10,0,5,36.23625910002738,None,36.23625910002738,None,0.14322916666666666,0.029947916666666668,1,0,0,1.038862399989739,target,0.010270159924402833,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
11,0,11,0,10,37.347367199952714,None,37.347367199952714,None,0.2864583333333333,0.0546875,1,0,0,0.9240382999414578,target,0.008112179930321872,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
12,0,12,0,5,38.31015159992967,None,38.31015159992967,None,-0.3385416666666667,0.053385416666666664,1,0,0,1.580930200056173,target,0.011518479906953871,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
13,0,13,0,10,39.9641417999519,None,39.9641417999519,None,-0.21875,0.3971354166666667,1,0,0,1.3962833000114188,target,0.00779407995287329,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
14,0,14,0,10,41.410414499929175,None,41.410414499929175,None,0.37890625,0.4518229166666667,1,0,0,2.7320953001035377,,0.010929479962214828,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
15,0,15,0,5,44.1769212000072,None,44.1769212000072,None,-0.17578125,0.2734375,1,0,0,1.0587982999859378,target,0.010378660052083433,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
16,0,16,0,5,45.294121099985205,None,45.294121099985205,None,0.4296875,0.053385416666666664,1,0,0,1.1155736000509933,target,0.0016297800466418266,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
17,0,17,0,10,46.47785699996166,None,46.47785699996166,None,0.42578125,-0.14713541666666666,1,0,0,3.7690136999590322,target,0.0019277799874544144,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
18,0,18,0,5,50.287808699999005,None,50.287808699999005,None,0.4361979166666667,-0.21875,1,0,0,1.098875500028953,target,0.009455360006541014,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
19,0,19,0,10,51.476451899972744,None,51.476451899972744,None,-0.057291666666666664,-0.3880208333333333,1,0,0,2.68080860003829,target,0.01233382010832429,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
20,0,20,0,10,54.2139011999825,None,54.2139011999825,None,0.390625,0.005208333333333333,1,0,0,2.4676209000172094,target,0.007252980023622513,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
21,0,21,0,5,56.73578620003536,None,56.73578620003536,None,0.1953125,0.140625,1,0,0,1.5233832999365404,target,0.005129580036737025,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
22,0,22,0,10,58.33913350000512,None,58.33913350000512,None,-0.4049479166666667,0.07942708333333333,1,0,0,1.922944899997674,target,0.01100039982702583,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
23,0,23,0,10,60.32496749993879,None,60.32496749993879,None,0.0625,0.33984375,1,0,0,2.4728542999364436,target,0.016662999987602234,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
24,0,24,0,10,62.85754180001095,None,62.85754180001095,None,-0.2786458333333333,0.4713541666666667,1,0,0,2.707657399936579,target,0.010887979879043996,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
25,0,25,0,10,65.60728440003004,None,65.60728440003004,None,-0.3059895833333333,-0.061197916666666664,1,0,0,1.983543899958022,target,0.002038659993559122,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
26,0,26,0,10,67.64084639993962,None,67.64084639993962,None,0.4453125,0.22526041666666666,1,0,0,2.4411172999534756,target,0.015991479973308742,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
27,0,27,0,10,70.14019429998007,None,70.14019429998007,None,0.4036458333333333,0.3567708333333333,1,0,0,1.549000500002876,target,0.014692080090753734,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
28,0,28,0,5,71.69768380001187,None,71.69768380001187,None,0.4375,-0.4322916666666667,1,0,0,1.7684639999642968,target,0.010616040090098977,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
29,0,29,0,10,73.56575609999709,None,73.56575609999709,None,-0.17838541666666666,0.12239583333333333,1,0,0,4.723309899913147,target,0.00629172008484602,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
30,0,30,0,5,78.31513470003847,None,78.31513470003847,None,0.3919270833333333,0.2421875,1,0,0,1.1726300000445917,target,0.016518060117959976,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
31,0,31,0,10,79.54816160001792,None,79.54816160001792,None,0.07161458333333333,0.20572916666666666,1,0,0,1.068063099985011,target,0.012171279871836305,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
32,0,32,0,10,80.67746699997224,None,80.67746699997224,None,0.022135416666666668,-0.3893229166666667,1,0,0,1.9732729999814183,target,0.0064046799670904875,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
33,0,33,0,10,82.71430500003044,None,82.71430500003044,None,0.12890625,-0.18359375,1,0,0,2.5033853000495583,target,0.009262180072255433,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
34,0,34,0,5,85.22682730003726,None,85.22682730003726,None,0.4765625,-0.06640625,1,0,0,1.6676319999387488,target,0.007839340018108487,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
35,0,35,0,5,86.9466610000236,None,86.9466610000236,None,0.4375,-0.17578125,1,0,0,1.1403677999041975,target,0.0019964599050581455,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
36,0,36,0,10,88.13224960002117,None,88.13224960002117,None,-0.3658854166666667,0.3736979166666667,1,0,0,2.382694200030528,target,0.0032559599494561553,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
37,0,37,0,10,90.5739418999292,None,90.5739418999292,None,-0.037760416666666664,-0.3541666666666667,1,0,0,2.4725563999963924,target,0.011831579962745309,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
38,0,38,0,10,93.14611850003712,None,93.14611850003712,None,-0.15364583333333334,-0.15494791666666666,1,0,0,1.3494793000863865,target,0.013646139879710972,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
39,0,39,0,10,94.55672660004348,None,94.55672660004348,None,0.3723958333333333,0.1171875,1,0,0,1.7338194999611005,target,0.00937937991693616,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
40,0,40,0,5,96.32092149998061,None,96.32092149998061,None,-0.30078125,0.17447916666666666,1,0,0,2.146331200026907,target,0.008713260060176253,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
41,0,41,0,10,98.52413259993773,None,98.52413259993773,None,-0.25,-0.3776041666666667,1,0,0,1.4425259000854567,target,0.0111481798812747,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
42,0,42,0,10,100.03608290001284,None,100.03608290001284,None,-0.18359375,0.3828125,1,0,0,1.6368043000111356,target,0.003592379856854677,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
43,0,43,0,5,101.70269720000215,None,101.70269720000215,None,0.23828125,0.026041666666666668,1,0,0,2.471435600076802,target,0.011596859898418188,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
44,0,44,0,5,104.22210819995962,None,104.22210819995962,None,-0.4153645833333333,0.11067708333333333,1,0,0,1.1747013999847695,target,0.0032861600629985332,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
45,0,45,0,10,105.45533309993334,None,105.45533309993334,None,-0.2825520833333333,0.11458333333333333,1,0,0,1.0686148999957368,target,0.012387280003167689,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
46,0,46,0,5,106.55022249999456,None,106.55022249999456,None,0.4010416666666667,0.4114583333333333,1,0,0,1.1867630999768153,target,0.009750159922987223,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
47,0,47,0,10,107.80197289993521,None,107.80197289993521,None,0.15494791666666666,0.13020833333333334,1,0,0,2.922865299973637,target,0.01147008000407368,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
48,0,48,0,10,110.78348740004003,None,110.78348740004003,None,-0.16276041666666666,-0.08984375,1,0,0,3.8487665000138804,target,0.010701979976147413,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
49,0,49,0,10,114.69160769996233,None,114.69160769996233,None,-0.3138020833333333,-0.2604166666666667,1,0,0,4.289994899998419,target,0.00889627996366471,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
50,0,50,0,10,119.00946890003979,None,119.00946890003979,None,0.3697916666666667,0.4583333333333333,1,0,0,2.8051771000027657,target,0.010720760095864534,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
51,0,51,0,5,121.85240360000171,None,121.85240360000171,None,0.3919270833333333,0.41796875,1,0,0,2.3186068000504747,target,0.011858260026201606,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
52,0,52,0,10,124.23275119997561,None,124.23275119997561,None,-0.3333333333333333,0.3450520833333333,1,0,0,2.1217821000609547,target,0.003757780068553984,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
53,0,53,0,5,126.38182070001494,None,126.38182070001494,None,0.25390625,-0.453125,1,0,0,2.1174151999875903,target,0.014585960074327886,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
54,0,54,0,5,128.54192019999027,None,128.54192019999027,None,-0.4674479166666667,-0.049479166666666664,1,0,0,1.7265213000355288,target,0.009244460030458868,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
55,0,55,0,5,130.3142181999283,None,130.3142181999283,None,-0.13411458333333334,-0.421875,1,0,0,1.6253619000781327,target,0.007695360109210014,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
56,0,56,0,5,131.97825209994335,None,131.97825209994335,None,-0.09244791666666667,0.061197916666666664,1,0,0,1.3326659000013024,target,0.011333759990520775,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
57,0,57,0,10,133.38567079999484,None,133.38567079999484,None,-0.059895833333333336,0.33203125,1,0,0,1.200250199995935,target,0.006955999997444451,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
58,0,58,0,5,134.623285699985,None,134.623285699985,None,-0.12760416666666666,-0.3020833333333333,1,0,0,1.6069979999447241,target,0.010910660028457642,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
59,0,59,0,10,136.29262910003308,None,136.29262910003308,None,0.25,-0.13541666666666666,1,0,0,1.9235024999361485,target,0.0037672799080610275,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
60,0,60,0,5,138.26143589999992,None,138.26143589999992,None,-0.23177083333333334,-0.11197916666666667,1,0,0,2.098451199941337,target,0.004799559945240617,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
61,0,61,0,10,140.44280059996527,None,140.44280059996527,None,-0.0859375,0.21354166666666666,1,0,0,1.5045004000421613,target,0.0022060000337660313,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
62,0,62,0,10,142.01404579996597,None,142.01404579996597,None,0.0546875,0.3736979166666667,1,0,0,1.834268599981442,target,0.006405079970136285,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
63,0,63,0,5,143.8987199999392,None,143.8987199999392,None,-0.4947916666666667,-0.0078125,1,0,0,3.415133800008334,target,0.015705399913713336,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
64,0,64,0,5,147.36805479996838,None,147.36805479996838,None,0.15625,0.4166666666666667,1,0,0,1.989117500022985,target,0.010860680020414293,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
65,0,65,0,10,149.43877689994406,None,149.43877689994406,None,-0.3346354166666667,0.3190104166666667,1,0,0,1.5332597000524402,target,0.007011999958194792,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
66,0,66,0,5,151.01749979995657,None,151.01749979995657,None,0.4361979166666667,-0.06640625,1,0,0,2.139809599961154,target,0.006720060016959906,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
67,0,67,0,10,153.2190289000282,None,153.2190289000282,None,0.18229166666666666,0.00390625,1,0,0,0.999781799968332,target,0.0060290799010545015,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
68,0,68,0,5,154.2565995999612,None,154.2565995999612,None,0.06640625,-0.21223958333333334,1,0,0,1.9566534000914544,target,0.005799859995022416,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
69,0,69,0,10,156.30208880000282,None,156.30208880000282,None,-0.453125,0.40625,1,0,0,3.4227860000682995,target,0.010883720126003027,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
70,0,70,0,10,159.76965869998094,None,159.76965869998094,None,0.21614583333333334,-0.3958333333333333,1,0,0,2.3189508999930695,target,0.0014872599858790636,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
71,0,71,0,5,162.11697410000488,None,162.11697410000488,None,0.46875,0.22786458333333334,1,0,0,2.0088643999770284,target,0.015402660006657243,None,,001,2022_Oct_05_1952,Tutorial_3,2021.1.4,59.96217585068236,
