3.2227 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.4776 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
10.5836 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E0089690B8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E008A3CA20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5839 	EXP 	window1: mouseVisible = True
10.5840 	EXP 	window1: recordFrameIntervals = False
10.7499 	EXP 	window1: recordFrameIntervals = True
10.9334 	EXP 	window1: recordFrameIntervals = False
10.9995 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.0303 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.0410 	EXP 	Imported discounting.xlsx as conditions, 7 conditions, 3 params
11.0438 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
11.0442 	EXP 	New trial (rep=0, index=0): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
11.4780 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
11.4780 	EXP 	fixation: autoDraw = True
12.4330 	EXP 	text: autoDraw = True
12.4830 	EXP 	fixation: autoDraw = False
17.7894 	EXP 	New trial (rep=0, index=1): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
17.8056 	DATA 	Keypress: l
17.8071 	EXP 	fixation: autoDraw = False
17.8071 	EXP 	text: autoDraw = False
17.8071 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
17.8071 	EXP 	fixation: autoDraw = True
18.7992 	EXP 	text: autoDraw = True
18.8159 	EXP 	fixation: autoDraw = False
21.8374 	EXP 	New trial (rep=0, index=2): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
21.8456 	DATA 	Keypress: l
21.8487 	EXP 	fixation: autoDraw = False
21.8487 	EXP 	text: autoDraw = False
21.8487 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
21.8487 	EXP 	fixation: autoDraw = True
22.8490 	EXP 	fixation: autoDraw = False
22.8490 	EXP 	text: autoDraw = True
25.6870 	EXP 	New trial (rep=0, index=3): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
25.7017 	DATA 	Keypress: l
25.7031 	EXP 	fixation: autoDraw = False
25.7031 	EXP 	text: autoDraw = False
25.7031 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
25.7031 	EXP 	fixation: autoDraw = True
26.6817 	EXP 	text: autoDraw = True
26.7151 	EXP 	fixation: autoDraw = False
28.6535 	EXP 	New trial (rep=0, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
28.6661 	DATA 	Keypress: t
28.6675 	EXP 	fixation: autoDraw = False
28.6675 	EXP 	text: autoDraw = False
28.6675 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
28.6675 	EXP 	fixation: autoDraw = True
29.6649 	EXP 	text: autoDraw = True
29.6814 	EXP 	fixation: autoDraw = False
32.0533 	EXP 	New trial (rep=0, index=5): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
32.0617 	DATA 	Keypress: t
32.0644 	EXP 	fixation: autoDraw = False
32.0644 	EXP 	text: autoDraw = False
32.0644 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
32.0644 	EXP 	fixation: autoDraw = True
33.0648 	EXP 	fixation: autoDraw = False
33.0648 	EXP 	text: autoDraw = True
38.7194 	EXP 	New trial (rep=0, index=6): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
38.7277 	DATA 	Keypress: l
38.7305 	EXP 	fixation: autoDraw = False
38.7305 	EXP 	text: autoDraw = False
38.7305 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
38.7305 	EXP 	fixation: autoDraw = True
39.7309 	EXP 	fixation: autoDraw = False
39.7309 	EXP 	text: autoDraw = True
41.9859 	DATA 	Keypress: t
41.9970 	EXP 	fixation: autoDraw = False
41.9970 	EXP 	text: autoDraw = False
42.1707 	EXP 	window1: mouseVisible = True
